Sr No.,District,Gini Index
246,Davanagere,0.28
247,Dharwad,0.34
248,Bidar,0.23
249,Bellary,0.21
250,Bijapur,0.2
251,Belgaum,0.26
252,Gadag,0.26
253,Gulbarga,0.23
254,Koppal,0.26
255,Bagalkot,0.27
256,Yadgir,
,Karnataka,0.39
257,Idukki,0.4
258,Thiruvananthapuram,0.36
259,Kottayam,0.37
260,Pathanamthitta,0.31
261,Kollam,0.35
262,Thrissur,0.36
263,Ernakulam,0.42
264,Palakkad,0.39
265,Malappuram,0.37
266,Alappuzha,0.32
267,Wayanad,0.31
268,Kozhikode,0.33
269,Kannur,0.31
270,Kasaragod,0.26
,Kerala,0.38
271,Lakshadweep,0.31
272,Indore,0.3
273,Ashoknagar,0.18
274,Chhatarpur,0.23
275,Mandsaur,0.21
276,Tikamgarh,0.19
277,Dewas,0.34
278,Ujjain,0.35
279,Shajapur,0.25
280,Neemuch,0.2
281,Dhar,0.24
282,Gwalior,0.33
283,Alirajpur,0.32
284,Shivpuri,0.27
285,Hoshangabad,0.34
286,Bhopal,0.46
287,Guna,0.23
288,Ratlam,0.21
289,Datia,0.23
290,Rajgarh,0.3
291,Sehore,0.34
292,Raisen,0.28
293,Narsimhapur,0.33
294,Harda,0.32
295,Vidisha,0.26
296,Jhabua,0.24
297,Seoni,0.27
298,Bhind,0.19
299,Morena,0.26
300,Sagar,0.26
301,Anuppur,0.37
302,Damoh,0.23
303,Chhindwara,0.44
304,Singrauli,0.3
305,Jabalpur,0.4
306,Shahdol,0.28
307,West Nimar,0.24
308,Burhanpur,0.23
309,Sheopur,0.28
310,Katni,0.35
311,East Nimar,0.23
312,Balaghat,0.27
313,Barwani,0.24
314,Dindori,0.22
315,Rewa,0.26
316,Mandla,0.23
317,Umaria,0.25
318,Sidhi,0.24
319,Betul,0.33
320,Satna,0.26
321,Panna,0.24
,Madhya Pradesh,0.35
322,Mumbai Suburban,0.39
323,Sindhudurg,0.21
324,Satara,0.31
325,Pune,0.37
326,Sangli,0.24
327,Wardha,0.24
328,Kolhapur,0.21
329,Osmanabad,0.25
330,Jalna,0.18
331,Nagpur,0.34
332,Thane,0.37
333,Raigarh,0.35
334,Solapur,0.28
335,Nashik,0.3
336,Ratnagiri,0.25
337,Latur,0.24
338,Ahmadnagar,0.24
339,Aurangabad,0.28
340,Yavatmal,0.25
341,Bid,0.24
342,Dhule,0.24
343,Gadchiroli,0.24
344,Jalgaon,0.26
345,Gondia,0.4
346,Bhandara,0.24
347,Hingoli,0.27
348,Amravati,0.29
349,Nandurbar,0.25
350,Nanded,0.3
351,Akola,0.25
352,Washim,0.23
353,Chandrapur,0.3
354,Buldana,0.25
355,Parbhani,0.25
356,Mumbai,
,Maharashtra,0.37
357,Tamenglong,0.15
358,Imphal East,0.18
359,Churachandpur,0.25
360,Ukhrul,0.16
361,Imphal West,0.21
362,Chandel,0.24
363,Bishnupur,0.14
364,Thoubal,0.23
365,Senapati,0.12
,Manipur,0.21
366,South Garo Hills,0.18
367,East Garo Hills,0.17
368,East Khasi Hills,0.25
369,West Garo Hills,0.2
370,Jaintia Hills,0.18
371,Ri Bhoi,0.19
372,West Khasi Hills,0.19
,Meghalaya,0.22
373,Aizawl,0.26
374,Champhai,0.23
375,Kolasib,0.25
376,Lunglei,0.24
377,Lawngtlai,0.25
378,Mamit,0.26
379,Serchhip,0.25
380,Saiha,0.25
,Mizoram,0.27
381,Mon,0.19
382,Longleng,0.22
383,Kohima,0.21
384,Tuensang,0.2
385,Peren,0.2
386,Kiphire,0.19
387,Phek,0.21
388,Dimapur,0.24
389,Mokokchung,0.18
390,Zunheboto,0.2
391,Wokha,0.23
,Nagaland,0.22
392,North,0.34
393,East,0.34
394,New Delhi,0.34
395,West,0.34
396,South West,0.34
397,South,0.34
398,North West,0.36
399,North East,0.22
400,Central,
,Delhi,0.34
401,Dhenkanal,0.24
402,Cuttack,0.29
403,Kendrapara,0.21
404,Angul,0.26
405,Puri,0.22
406,Khordha,0.4
407,Jajpur,0.24
408,Jagatsinghpur,0.24
409,Bhadrak,0.19
410,Jharsuguda,0.34
411,Sambalpur,0.31
412,Ganjam,0.27
413,Bargarh,0.24
414,Baleshwar,0.27
415,Nayagarh,0.26
416,Balangir,0.22
417,Debagarh,0.29
418,Kendujhar,0.3
419,Gajapati,0.29
420,Rayagada,0.24
421,Subarnapur,0.23
422,Kandhamal,0.26
423,Sundargarh,0.37
424,Nuapada,0.17
425,Kalahandi,0.24
426,Baudh,0.19
427,Mayurbhanj,0.25
428,Koraput,0.33
429,Nabarangapur,0.28
430,Malkangiri,0.21
,Odisha,0.3
431,Puducherry,0.32
432,Yanam,0.32
433,Mahe,0.32
434,Karaikal,0.31
,Pondicherry,0.32
435,Fatehgarh Sahib,0.32
436,Rupnagar,0.31
437,Patiala,0.32
438,Sahibzada Ajit Singh,0.36
439,Nagar Mohali Mansa,0.26
440,Kapurthala,0.33
441,Nawanshahr,0.29
442,Hoshiarpur,0.26
443,Gurdaspur,0.26
444,Jalandhar,0.33
445,Moga,0.27
446,Tarn Taran,0.31
447,Faridkot,0.31
448,Barnala,0.31
449,Firozpur,0.3
450,Sangrur,0.35
451,Ludhiana,0.29
452,Bathinda,0.32
453,Muktsar,0.26
454,Amritsar,0.3
,Punjab,0.31
455,Jhunjhunu,0.23
456,Jaipur,0.32
457,Pali,0.2
458,Sikar,0.26
459,Hanumangarh,0.24
460,Churu,0.21
461,Jodhpur,0.37
462,Dausa,0.22
463,Tonk,0.29
464,Ganganagar,0.25
465,Bikaner,0.29
466,Barmer,0.25
467,Alwar,0.39
468,Jalor,0.25
469,Kota,0.28
470,Nagaur,0.22
471,Ajmer,0.31
472,Bhilwara,0.24
